"ginc" "height" "age" "length" "mar" "sex" "german" "alevel"
3096 170 33 5.7 1 0 1 1
1409 174 33 3 0 0 1 0
799 166 48 10 1 1 1 0
2294 170 37 7.8 0 0 0 0
2459 165 56 15 1 1 1 0
1288 170 27 0.6 1 1 1 1
1848 178 49 6.3 1 0 1 0
1795 152 33 11.4 1 1 1 0
2500 168 40 16.8 0 0 1 0
1043 158 48 18 1 1 1 0
2547 185 45 14.3 1 0 1 0
2219 173 50 31.2 1 0 1 0
1339 178 43 13.6 1 0 1 0
1807 192 33 10.5 0 0 1 0
3500 178 50 4.5 1 0 1 0
1669 163 30 0.4 1 1 0 1
2020 170 25 3.3 0 1 1 0
2258 178 43 11 0 0 1 0
2429 165 39 20.4 1 0 0 0
1979 155 54 28.2 1 1 0 0
2738 180 45 1.8 1 0 0 1
1417 155 52 34 1 1 1 0
2720 181 54 30.2 1 0 1 0
1994 164 38 4.7 0 1 1 0
2107 178 51 3.3 1 0 1 0
938 160 49 3.8 1 1 1 0
5711 190 41 3.3 1 0 1 1
3353 168 42 15.9 0 1 1 1
3233 180 50 22.3 1 0 1 0
739 165 43 6 0 1 1 0
3628 187 29 6.6 1 0 1 0
3106 176 43 13.5 0 0 1 0
1884 180 40 1 1 0 1 0
4116 182 34 3.9 1 0 1 0
2690 164 42 18.5 1 1 1 0
2515 170 42 8.3 1 0 1 0
2799 155 49 31 1 1 1 1
1887 177 32 6.3 0 0 1 1
1221 172 29 6.8 1 1 1 0
2404 167 59 41 1 0 1 0
4284 180 39 14.8 0 0 1 1
3092 178 43 8.8 1 0 1 0
3527 183 39 4.4 1 0 1 0
1064 176 46 1.9 1 0 1 0
3966 175 52 3.6 0 0 1 1
1844 169 36 1.4 1 1 1 1
2815 178 32 6.9 1 0 1 0
2325 175 31 8.4 0 0 1 0
2242 186 43 1.4 0 0 1 1
2653 160 59 10.2 1 1 1 1
2195 166 30 0.7 0 1 1 0
2577 169 58 13.7 1 1 1 1
3963 180 55 32 1 0 1 0
1527 180 41 5.5 1 0 1 0
5510 185 48 0.4 1 0 1 1
2455 178 43 7.1 1 0 1 1
1989 172 24 3.5 0 1 0 0
2775 192 41 12.3 1 0 1 1
1890 170 44 26.5 1 1 1 0
2996 171 44 21.6 1 0 1 0
2539 182 47 2 1 0 1 0
2317 168 53 12.5 1 0 1 1
1060 154 57 21.6 1 1 1 0
855 168 34 7.6 0 1 1 0
1733 179 39 17 1 0 1 0
3009 170 40 1.3 1 1 1 1
3118 175 42 17.3 0 0 1 0
1137 159 27 4 0 1 1 0
1993 165 44 9.8 1 1 1 0
3007 175 44 16.8 1 0 1 1
2929 179 35 5.9 1 0 1 0
2826 176 28 6 1 0 1 0
2557 172 47 24 1 0 1 0
4377 180 50 18.3 1 0 1 1
1841 160 49 10 1 1 1 0
2218 173 41 15.2 1 0 1 0
537 184 27 4 0 0 1 1
2321 180 31 12.6 1 0 0 0
1485 151 49 11.8 1 1 1 0
1557 168 24 2.8 0 1 1 0
1026 149 22 1.2 0 1 1 0
